Player,Squad,Age,90s,xG,npxG,xA,KP,SCA,SuccTkon,PrgC,CPA,ELO
Olaf Kobacki,Sheffield Weds,23,4.1,0.2,0.2,0.1,0.73,1.95,37.5,2.93,1.22,1488
Luca Koleosho,Burnley,19,18.6,0.1,0.1,0.13,1.56,3.01,40.7,4.52,1.51,1730
Lewis Koumas,Stoke City,18,27.1,0.18,0.18,0.07,0.66,1.84,31.5,2.58,1.48,1476
Enzo Le Fée,Sunderland,24,11.1,0.08,0.08,0.18,1.53,3.78,40.8,4.23,1.26,1547
Harry Leonard,Blackburn,20,1.7,1,1,0.12,1.18,3.65,66.7,0.59,0.59,1513
Lincoln,Hull City,25,4.7,0.02,0.02,0.09,1.28,2.14,20,0,0,1492
Alfie Lloyd,QPR,21,8.3,0.17,0.17,0.04,1.57,2.05,24.4,2.53,0.84,1493
Ryan Longman,Hull City,23,5.3,0.32,0.32,0.09,1.32,3.21,60,3.21,0.94,1492
Jamal Lowe,Sheffield Weds,30,10.7,0.28,0.28,0.08,0.56,1.97,50,1.4,0.84,1488
Nathan Lowe,Stoke City,18,5.2,0.23,0.23,0.02,0.77,1.34,42.9,0.58,0.19,1476
Million Manhoef,Stoke City,22,26.9,0.29,0.29,0.18,1.93,3.94,39.4,3.05,1.97,1476
Ephron Mason-Clark,Coventry City,24,18.1,0.36,0.36,0.29,1.88,3.15,53.3,4.25,1.82,1546
Eliezer Mayenda,Sunderland,19,23.9,0.41,0.41,0.15,1.05,2.67,44.6,3.43,2.05,1547
Anis Mehmeti,Bristol City,23,28.4,0.37,0.31,0.17,1.44,2.95,35.5,3.52,2.15,1523
Nathaniel Mendez-Laing,Derby County,32,23.3,0.14,0.1,0.2,1.93,4.07,38.2,3.18,0.99,1468
Stanley Mills,Oxford United,20,3.9,0.26,0.26,0.21,0.77,2.78,45.5,2.05,0.77,1461
Yang Minhyeok,QPR,18,7.7,0.22,0.22,0.08,0.91,2.34,31.6,2.47,1.17,1493
Romaine Mundle,Sunderland,21,15.9,0.14,0.14,0.16,1.64,3.96,39.3,6.29,2.58,1547
Anthony Musaba,Sheffield Weds,23,14.8,0.3,0.3,0.19,1.28,2.71,38,4.53,2.3,1488
Camiel Neghli,Millwall,22,2.1,0.38,0.38,0.1,1.43,4.2,60,2.38,0.48,1525
Lasse Nordås,Luton Town,22,2.8,0.25,0.25,0.14,1.07,2.47,42.9,1.07,0.71,1498
Michael Obafemi,Plymouth Argyle,24,13.3,0.15,0.15,0.07,0.83,1.36,22.2,1.05,0.9,1443
Yuki Ohashi,Blackburn,28,24.7,0.29,0.29,0.07,0.4,1.42,22.5,1.46,0.77,1513
Jeppe Okkels,Preston,25,1.4,0,0,0,0,0.72,11.1,2.86,0,1469
Callum Paterson,Sheffield Weds,29,13.2,0.33,0.33,0.17,0.83,1.97,44.4,0.61,0.23,1488
Jamie Paterson,Coventry City,32,0.9,0.11,0.11,0.56,1.11,1.14,0,3.33,1.11,1546
Myles Peart-Harris,Swansea City,21,18.5,0.17,0.17,0.12,0.86,2,36.6,2.54,0.65,1513
Matt Phillips,Oxford United,33,10.6,0.09,0.09,0.06,1.04,1.51,21.4,2.36,0.28,1461
Ian Poveda,Sunderland,24,1,0.1,0.1,0.1,2,4.19,40,5,3,1547
Przemysław Płacheta,Oxford United,26,23,0.16,0.16,0.1,0.91,1.96,34.2,2.48,1.13,1461
Jesurun Rak Sakyi,Sheffield Utd,21,19.2,0.32,0.32,0.18,1.51,3.71,49.5,3.8,2.55,1622
Patrick Roberts,Sunderland,27,36.4,0.16,0.12,0.17,1.79,4.06,45.2,3.43,1.68,1547
Callum Robinson,Cardiff City,29,22.5,0.32,0.32,0.09,0.98,2.27,48.1,1.64,0.76,1434
Ole Romeny,Oxford United,24,6.6,0.21,0.21,0.06,0.61,1.07,55.6,1.52,0.61,1461
Ronald,Swansea City,23,41.8,0.09,0.09,0.17,1.1,2.59,33.1,3.97,0.89,1513
Kemar Roofe,Derby County,31,0.1,0,0,0,0,0,0,0,0,1468
Koki Saito,QPR,22,25.5,0.13,0.13,0.12,1.53,3.29,40.4,2.98,1.41,1493
Tatsuhiro Sakamoto,Coventry City,27,28.7,0.11,0.11,0.18,1.01,2.65,40,2.47,0.59,1546
Jeremy Sarmiento,Burnley,22,13,0.23,0.23,0.09,0.85,2.85,47.1,3.62,0.62,1730
Oscar Schwartau,Norwich City,18,17.4,0.19,0.19,0.1,0.75,1.84,46.9,1.72,0.75,1507
Arnór Sigurðsson,Blackburn,25,0.7,0.14,0.14,0,1.43,5.81,100,1.43,0,1513
Sam Silvera,Portsmouth,23,5,0.04,0.04,0.12,1.2,2.02,53.3,3.4,1.4,1479
Paul Smyth,QPR,26,30.8,0.09,0.09,0.11,1.17,3.35,39.8,3.9,1.14,1493
Elias Sørensen,Portsmouth,24,3.6,0.42,0.22,0.03,0.28,1.68,33.3,0,0,1479
Ollie Tanner,Cardiff City,22,15.4,0.19,0.19,0.07,0.84,2.6,46,3.31,1.1,1434
Joseph Taylor,Luton Town,21,1.7,0.29,0.29,0.06,0.59,3.44,37.5,1.18,0.59,1498
Emre Tezgel,Stoke City,18,3.3,0.21,0.21,0.03,0.91,1.81,25,0.61,0.3,1476
Muhamed Tijani,Plymouth Argyle,24,5,0.12,0.12,0.02,0.6,1.41,50,0.6,0,1443
Scott Twine,Bristol City,25,23.5,0.26,0.26,0.21,2.34,4.63,39.5,1.23,0.38,1523
Rocco Vata,Watford,19,17.1,0.17,0.17,0.09,0.76,2.29,39.6,2.75,1.35,1472
Jed Wallace,West Brom,30,9,0.13,0.13,0.13,1.56,2.79,37.9,3.11,0.56,1538
Duncan Watmore,Millwall,30,17.5,0.21,0.21,0.09,1.14,2.57,38,2,1.03,1525
Tom Watson,Sunderland,18,9.9,0.19,0.19,0.15,1.31,3.64,37.1,5.05,2.83,1547
Andreas Weimann,Blackburn,32,15.7,0.46,0.46,0.13,1.02,1.85,40,1.15,0.45,1513
Morgan Whittaker,Plymouth Argyle,23,19.4,0.11,0.11,0.06,0.82,2.11,36.2,1.65,0.67,1443
Kusini Yengi,Portsmouth,25,6,0.08,0.08,0.02,1.17,2.17,35.3,0.83,0.33,1479
Miguel Almirón,Newcastle Utd,30,1.7,0.29,0.29,0.12,1.76,4.59,50,1.76,1.18,1869
Michail Antonio,West Ham,34,9.3,0.24,0.24,0.1,0.97,2.37,33.3,3.12,0.97,1750
Cameron Archer,Southampton,23,16,0.36,0.31,0.04,0.31,1.25,40.5,1.38,0.88,1555
Taiwo Awoniyi,Nott'ham Forest,26,4.6,0.46,0.46,0.02,0.43,1.95,44.4,1.3,0.43,1803
Harvey Barnes,Newcastle Utd,26,19.5,0.37,0.37,0.24,1.33,3.27,37.5,4.77,2.41,1869
Beto,Everton,26,17,0.48,0.48,0.03,0.71,1.52,50,0.88,0.53,1794
Oscar Bobb,Manchester City,21,0.2,0,0,0,5,11.25,100,5,0,1960
Ben Brereton,Southampton,25,5,0.18,0.18,0.02,0.6,1.8,25,2.4,0.8,1555
Armando Broja,Everton,22,3.7,0.03,0.03,0.03,1.08,1.89,50,3.24,0.81,1794
Dominic Calvert-Lewin,Everton,27,17.9,0.37,0.37,0.04,0.39,1.46,40,1.28,0.95,1794
Federico Chiesa,Liverpool,26,1.2,0.25,0.25,0.17,1.67,5,0,2.5,0.83,1993
Maxwel Cornet,Southampton,27,0.8,0.25,0.25,0,0,0,0,1.25,1.25,1555
Bobby De Cordova-Reid,Leicester City,31,8.3,0.1,0.1,0.02,0.72,1.57,0,1.69,0.72,1619
Liam Delap,Ipswich Town,21,28.8,0.32,0.27,0.05,0.73,2.15,46.5,2.12,1.04,1591
Luis Díaz,Liverpool,27,26.7,0.45,0.45,0.17,2.1,4.39,45.7,4.04,2.1,1993
Jáder Durán,Aston Villa,20,7.1,0.69,0.69,0.04,0.56,2.54,21.4,0.99,0.28,1873
Odsonne Édouard,Leicester City,26,0.3,0,0,0,3.33,6.21,50,0,3.33,1619
Evanilson,Bournemouth,24,25.8,0.48,0.45,0.07,1.01,2.37,33.3,1.12,0.58,1808
Abdul Fatawu Issahaku,Leicester City,20,6.4,0.06,0.06,0.22,0.94,2.64,42,6.56,2.34,1619
Evan Ferguson,West Ham,19,1.7,0.35,0.35,0.18,1.18,2.31,60,0.59,0.59,1750
Evan Ferguson,Brighton,19,2.7,0.19,0.19,0.15,1.11,1.47,50,0.74,0.74,1827
Niclas Füllkrug,West Ham,31,8.8,0.25,0.25,0.05,1.59,2.5,12.5,0.8,0.23,1750
Cody Gakpo,Liverpool,25,21.5,0.33,0.33,0.18,1.77,3.72,50.8,2.74,1.3,1993
Tyrique George,Chelsea,18,2,0.1,0.1,0.15,3,3.44,60,4.5,2.5,1903
Marc Guiu,Chelsea,18,0.8,0,0,0,1.25,1.22,0,0,0,1903
Erling Haaland,Manchester City,24,30.4,0.72,0.62,0.07,0.95,2.34,36.1,0.79,0.76,1960
Ali Al Hamadi,Ipswich Town,22,1.5,0.27,0.27,0,1.33,5.37,57.1,2.67,2.67,1591
Jack Harrison,Everton,27,23.1,0.15,0.15,0.13,1.43,2.47,32,3.16,0.74,1794
Son Heung-min,Tottenham,32,23.4,0.31,0.24,0.22,2.14,4.99,34.9,4.1,1.88,1774
George Hirst,Ipswich Town,25,7.3,0.29,0.29,0.04,0.55,1.22,33.3,1.23,0.96,1591
Rasmus Højlund,Manchester Utd,21,22.3,0.24,0.24,0.05,0.72,1.53,27.3,1.26,0.76,1799
Alexander Isak,Newcastle Utd,24,30.6,0.66,0.56,0.12,1.34,3.01,46.2,2.71,1.41,1869
Nicolas Jackson,Chelsea,23,24.7,0.5,0.5,0.08,1.13,2.8,29.5,1.9,1.3,1903
Daniel Jebbison,Bournemouth,20,1.3,0.77,0.77,0.08,2.31,4.54,57.1,3.08,3.85,1808
Gabriel Jesus,Arsenal,27,6.8,0.44,0.44,0.07,1.18,2.66,40.9,2.21,1.62,1993
Raúl Jiménez,Fulham,33,27.7,0.43,0.35,0.08,0.87,2.38,42,1.26,0.61,1782
Brennan Johnson,Tottenham,23,24.2,0.43,0.43,0.08,0.79,1.9,43.2,2.48,1.45,1774
Diogo Jota,Liverpool,27,13.3,0.59,0.59,0.08,0.83,2.79,33.3,2.78,1.58,1993
Jesper Lindstrøm,Everton,24,13.8,0.15,0.15,0.14,1.38,3.35,18.6,2.17,0.51,1794
Noni Madueke,Chelsea,22,22.6,0.42,0.42,0.14,1.42,3.5,44.1,6.81,4.12,1903
Donyell Malen,Aston Villa,25,3.4,0.65,0.65,0.06,0.88,1.76,36.4,3.53,2.06,1873
Jean-Philippe Mateta,Crystal Palace,27,29.4,0.46,0.4,0.08,0.99,2.21,43.5,1.53,0.34,1835
Stephy Mavididi,Leicester City,26,17.9,0.1,0.1,0.18,1.23,2.78,36.8,5.08,1.51,1619
Bryan Mbeumo,Brentford,24,37.9,0.32,0.2,0.25,1.85,3.8,46.8,3.43,1.98,1811
Kasey McAteer,Leicester City,22,9.5,0.11,0.11,0.06,0.95,2.11,24,2,0.95,1619
Mikey Moore,Tottenham,16,4.1,0.05,0.05,0.15,0.73,2.95,11.8,2.93,1.22,1774
