Player,Squad,Age,90s,xG,npxG,xA,KP,SCA,SuccTkon,PrgC,CPA,ELO
Omar Marmoush,Manchester City,25,13.1,0.42,0.42,0.16,1.15,2.99,43.5,2.21,1.15,1960
Gabriel Martinelli,Arsenal,23,25.4,0.29,0.29,0.19,1.57,2.91,30.3,4.88,2.52,1993
Yankuba Minteh,Brighton,20,20.4,0.2,0.2,0.25,1.42,3.14,46.9,4.41,3.28,1827
Kaoru Mitoma,Brighton,27,28.9,0.32,0.32,0.14,1.28,3.01,39.7,5.05,1.94,1827
Jeremy Monga,Leicester City,,1.2,0.17,0.17,0,0.83,1.61,28.6,5,2.5,1619
Eddie Nketiah,Crystal Palace,25,11.5,0.5,0.5,0.08,1.13,2.69,35.5,3.57,1.22,1835
Ethan Nwaneri,Arsenal,17,9.9,0.12,0.12,0.18,1.62,2.91,59.7,4.65,1.72,1993
Wilson Odobert,Tottenham,19,9.4,0.17,0.17,0.09,0.64,1.7,37.5,4.79,1.91,1774
Jaden Philogene Bidace,Aston Villa,22,3.7,0.14,0.14,0.05,0.27,1.36,26.7,1.89,1.89,1873
Jacob Ramsey,Aston Villa,23,18,0.09,0.09,0.12,1.17,2.83,54.3,3.39,1.17,1873
Marcus Rashford,Manchester Utd,26,10.9,0.16,0.16,0.13,1.38,2.67,23.1,1.83,1.1,1799
Morgan Rogers,Aston Villa,22,34.6,0.19,0.19,0.15,1.47,3.04,41.3,3.29,0.95,1873
Bukayo Saka,Arsenal,22,19.2,0.35,0.31,0.41,3.02,6.09,45.6,5,2.66,1993
Sávio,Manchester City,20,19.6,0.26,0.26,0.31,2.35,5.66,46,6.99,3.83,1960
Jota Silva,Nott'ham Forest,24,9.5,0.22,0.22,0.19,1.47,3.06,29.4,2.21,0.95,1803
Luis Sinisterra,Bournemouth,25,2.6,0.46,0.46,0.5,3.46,5.29,40,7.31,3.85,1808
Ramón Sosa,Nott'ham Forest,24,3.3,0.3,0.3,0.12,2.42,4.23,61.5,3.64,1.52,1803
Raheem Sterling,Arsenal,29,5.5,0.25,0.25,0.09,1.45,3.43,33.3,4.91,2.73,1993
Kamaldeen Sulemana,Southampton,22,15.6,0.1,0.1,0.05,0.64,1.93,37.9,4.04,1.79,1555
Crysencio Summerville,West Ham,22,8.7,0.18,0.18,0.2,1.95,4.01,33.3,3.33,1.49,1750
Sammie Szmodics,Ipswich Town,28,11,0.31,0.31,0.05,0.45,0.91,33.3,1.45,0.64,1591
Marcus Tavernier,Bournemouth,25,21.5,0.26,0.26,0.17,2,4.55,43.1,2.47,0.42,1808
Thiago,Brentford,23,1.9,0.05,0.05,0,1.05,1.55,60,1.58,0.53,1811
Adama Traoré,Fulham,28,19.7,0.2,0.2,0.23,2.13,4.16,49.5,5.08,1.68,1782
Enes Ünal,Bournemouth,27,3.8,0.71,0.71,0.08,1.05,2.35,8.3,1.05,0.26,1808
Timo Werner,Tottenham,28,5.7,0.18,0.18,0.26,1.75,3.13,52.6,7.37,3.16,1774
Willian,Fulham,35,2.9,0.1,0.1,0.24,2.41,5.93,14.3,3.79,0.69,1782
Harry Wilson,Fulham,27,12.9,0.33,0.33,0.09,1.55,3.41,37.5,1.71,0.85,1782
Joshua Zirkzee,Manchester Utd,23,15.6,0.31,0.31,0.07,0.77,1.99,31.4,0.9,0.26,1799
